,job_id,company_id,Job_title,work_type,applies,remote_allowed,application_type,experience_level
0,3757940104,553718.0,Hearing Care Provider,Full-time,,,OffsiteApply,Entry level
1,3757940025,2192142.0,Shipping & Receiving Associate 2nd shift (Beaver Dam),Full-time,,,OffsiteApply,
2,3757938019,474443.0,"Manager, Engineering",Full-time,,,OffsiteApply,
3,3757938018,18213359.0,Cook,Full-time,,,OffsiteApply,Entry level
4,3757937095,437225.0,Principal Cloud Security Architect (Remote),Full-time,,1.0,OffsiteApply,Mid-Senior level
5,3757937037,13727.0,Territory Manager - New Haven,Full-time,,1.0,OffsiteApply,Mid-Senior level
6,3757937004,10515052.0,Auto Body Techncian,Full-time,,,OffsiteApply,Entry level
7,3757936167,2915.0,"ACME D8- Asst Store Director (ASD) Sussex, NJ",Full-time,,,OffsiteApply,Mid-Senior level
8,3757936097,18213359.0,Dishwasher,Full-time,,,OffsiteApply,Entry level
9,3757936026,634806.0,Instrumentation Quality Control Representative (EB-2171888304),Contract,12.0,1.0,SimpleOnsiteApply,Entry level
10,3757935384,232541.0,Power Utility Distribution Designer II (Remote),Full-time,,,OffsiteApply,
11,3757935381,19181907.0,Insights Analyst - Auto Industry,Full-time,,1.0,OffsiteApply,Entry level
12,3757935111,2073870.0,Delivery Director (LLM Data Services),Full-time,,1.0,OffsiteApply,Director
13,3757935026,16223627.0,Nurse Practitioner,Contract,,,OffsiteApply,
14,3757935025,99500291.0,Associate Veterinarian,Full-time,,,OffsiteApply,Mid-Senior level
15,3757935012,18583501.0,Quantitative Trader [5048],Full-time,36.0,,ComplexOnsiteApply,Associate
16,3757935011,82556159.0,Remote Vacation Planner,Full-time,,1.0,OffsiteApply,Entry level
17,3757935010,82556159.0,Remote Vacation Planner,Full-time,,1.0,OffsiteApply,Entry level
18,3757935003,18583501.0,Continuous Manufacturing Expert - Pharmaceuticals (Small Molecule) [5302],Full-time,,,ComplexOnsiteApply,Mid-Senior level
19,3757935001,73013724.0,Sales Manager,Full-time,,1.0,ComplexOnsiteApply,Mid-Senior level
20,3757934944,18270206.0,Branch Manager Truss,Full-time,,,OffsiteApply,
21,3757934630,36749.0,Store Manager,Full-time,,,OffsiteApply,Mid-Senior level
